Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTPÇëÇó,350000,536,120,1690,2841,7028,0,12311,5.499%,5113.44544,2321.63,986.27
×ÜÌå,350000,536,120,1690,2841,7028,0,12311,5.499%,5113.44544,2321.63,986.27
